dataset,mcc_breiman,mcc_ancestor,mcc_zhu
AllGestureWiimoteZ,0.4449213161659514,0.47639484978540775,0.48068669527896996
AllGestureWiimoteZ,0.43490701001430615,0.47782546494992845,0.474964234620887
AllGestureWiimoteZ,0.4234620886981402,0.4492131616595136,0.47067238912732473
AllGestureWiimoteZ,0.4334763948497854,0.45064377682403434,0.4592274678111588
AllGestureWiimoteZ,0.4434907010014306,0.463519313304721,0.4563662374821173
AllGestureWiimoteZ,0.44778254649499283,0.4363376251788269,0.46208869814020026
ArrowHead,0.735632183908046,0.764367816091954,0.7413793103448276
ArrowHead,0.735632183908046,0.7241379310344828,0.7241379310344828
ArrowHead,0.7298850574712644,0.7528735632183908,0.7413793103448276
ArrowHead,0.6781609195402298,0.6954022988505747,0.6781609195402298
ArrowHead,0.764367816091954,0.7873563218390804,0.7701149425287356
ArrowHead,0.7183908045977011,0.7586206896551724,0.735632183908046
ArrowHead,0.7298850574712644,0.7701149425287356,0.7471264367816092
ArrowHead,0.7413793103448276,0.7701149425287356,0.7413793103448276
ArrowHead,0.7758620689655172,0.764367816091954,0.7758620689655172
ArrowHead,0.7413793103448276,0.764367816091954,0.7528735632183908
ArrowHead,0.735632183908046,0.7413793103448276,0.7471264367816092
ArrowHead,0.764367816091954,0.7931034482758621,0.764367816091954
ArrowHead,0.7701149425287356,0.7528735632183908,0.7471264367816092
ArrowHead,0.7528735632183908,0.7701149425287356,0.7471264367816092
ArrowHead,0.7471264367816092,0.7931034482758621,0.7413793103448276
ArrowHead,0.7701149425287356,0.7873563218390804,0.764367816091954
ArrowHead,0.7471264367816092,0.7816091954022989,0.7586206896551724
ArrowHead,0.7413793103448276,0.7758620689655172,0.7471264367816092
ArrowHead,0.7586206896551724,0.7701149425287356,0.764367816091954
ArrowHead,0.7298850574712644,0.764367816091954,0.7298850574712644
