dataset,accuracy_breiman,accuracy_ancestor,accuracy_zhu
EOGHorizontalSignal,0.5235457063711911,0.5069252077562327,0.5124653739612188
EOGHorizontalSignal,0.5318559556786704,0.5069252077562327,0.5124653739612188
EOGHorizontalSignal,0.5235457063711911,0.5096952908587258,0.5096952908587258
EOGHorizontalSignal,0.5346260387811634,0.5290858725761773,0.5235457063711911
EOGHorizontalSignal,0.5069252077562327,0.5013850415512465,0.5069252077562327
EOGHorizontalSignal,0.5318559556786704,0.5069252077562327,0.5096952908587258
EOGHorizontalSignal,0.518005540166205,0.5069252077562327,0.5041551246537396
EOGHorizontalSignal,0.5235457063711911,0.518005540166205,0.518005540166205
EOGHorizontalSignal,0.5152354570637119,0.5069252077562327,0.5069252077562327
EOGVerticalSignal,0.48753462603878117,0.5096952908587258,0.5041551246537396
EOGVerticalSignal,0.48753462603878117,0.5207756232686981,0.5152354570637119
EOGVerticalSignal,0.4986149584487535,0.5041551246537396,0.5096952908587258
EOGVerticalSignal,0.481994459833795,0.5069252077562327,0.5041551246537396
EOGVerticalSignal,0.5013850415512465,0.5152354570637119,0.5096952908587258
EOGVerticalSignal,0.4930747922437673,0.5013850415512465,0.5069252077562327
EOGVerticalSignal,0.5069252077562327,0.5207756232686981,0.5124653739612188
EOGVerticalSignal,0.48476454293628807,0.5152354570637119,0.5152354570637119
EOGVerticalSignal,0.5152354570637119,0.4930747922437673,0.4986149584487535
EOGVerticalSignal,0.49584487534626037,0.518005540166205,0.5207756232686981
Earthquakes,0.7391304347826086,0.7463768115942029,0.7391304347826086
Earthquakes,0.7391304347826086,0.7391304347826086,0.7391304347826086
Earthquakes,0.7391304347826086,0.7391304347826086,0.7463768115942029
Earthquakes,0.7391304347826086,0.7391304347826086,0.7391304347826086
Earthquakes,0.7391304347826086,0.7391304347826086,0.7391304347826086
Earthquakes,0.7391304347826086,0.7391304347826086,0.7391304347826086
Earthquakes,0.7391304347826086,0.7463768115942029,0.7391304347826086
Earthquakes,0.7391304347826086,0.7391304347826086,0.7391304347826086
Earthquakes,0.7391304347826086,0.7391304347826086,0.7391304347826086
Earthquakes,0.7391304347826086,0.7391304347826086,0.7391304347826086
EthanolLevel,0.47695390781563124,0.5070140280561122,0.5090180360721442
EthanolLevel,0.4729458917835671,0.5130260521042084,0.5170340681362725
EthanolLevel,0.503006012024048,0.5090180360721442,0.49899799599198397
EthanolLevel,0.47695390781563124,0.5130260521042084,0.5090180360721442
EthanolLevel,0.48697394789579157,0.501002004008016,0.5090180360721442
EthanolLevel,0.48296593186372744,0.503006012024048,0.5090180360721442
EthanolLevel,0.4789579158316633,0.5190380761523046,0.5150300601202404
EthanolLevel,0.4749498997995992,0.5050100200400801,0.49899799599198397
EthanolLevel,0.48697394789579157,0.5150300601202404,0.5090180360721442
EthanolLevel,0.47695390781563124,0.5070140280561122,0.48897795591182364
FaceAll,0.7347542924807579,0.7306098283007697,0.7317939609236235
FaceAll,0.7300177619893428,0.7300177619893428,0.7306098283007697
FaceAll,0.7335701598579041,0.7329780935464772,0.7347542924807579
FaceAll,0.7335701598579041,0.7306098283007697,0.7335701598579041
FaceAll,0.7341622261693309,0.7306098283007697,0.7335701598579041
FaceAll,0.7371225577264654,0.7317939609236235,0.7323860272350503
FaceAll,0.7329780935464772,0.7317939609236235,0.7347542924807579
FaceAll,0.7341622261693309,0.7300177619893428,0.7317939609236235
FaceAll,0.7317939609236235,0.7288336293664891,0.7306098283007697
FaceAll,0.7335701598579041,0.7317939609236235,0.7323860272350503
FaceFour,0.9310344827586207,0.9080459770114943,0.9310344827586207
FaceFour,0.9310344827586207,0.9425287356321839,0.9425287356321839
FaceFour,0.9425287356321839,0.9425287356321839,0.9425287356321839
FaceFour,0.9310344827586207,0.9080459770114943,0.9310344827586207
FaceFour,0.9195402298850575,0.8850574712643678,0.9310344827586207
FaceFour,0.9080459770114943,0.9195402298850575,0.9080459770114943
FaceFour,0.9310344827586207,0.9310344827586207,0.9425287356321839
FaceFour,0.9310344827586207,0.9425287356321839,0.9425287356321839
FaceFour,0.9310344827586207,0.9310344827586207,0.9310344827586207
